bpid,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches,,,,,,,,,,,,,,,,,,,,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches
104760,656354,Austin Davis,2020,27,PIT,RP,5,0,3.7,41,,,,,,,,,,,,,,,,,,,,656354,Austin Davis,2020,27,PIT,RP,5,0,3.7,41
104760,656354,Austin Davis,2020,27,PHI,RP,4,0,3,86,,,,,,,,,,,,,,,,,,,,656354,Austin Davis,2020,27,PHI,RP,4,0,3.0,86
103789,596295,Austin Gomber,2020,26,STL,RP,10,0,13.3,257,,,,,,,,,,,,,,,,,,,,596295,Austin Gomber,2020,26,STL,RP,10,0,13.3,257
103789,596295,Austin Gomber,2020,26,STL,SP,4,4,15.7,269,,,,,,,,,,,,,,,,,,,,596295,Austin Gomber,2020,26,STL,SP,4,4,15.7,269
102084,608723,Austin Voth,2020,28,WAS,SP,11,11,49.7,895,,,,,,,,,,,,,,,,,,,,608723,Austin Voth,2020,28,WAS,SP,11,11,49.7,895
105643,663366,Beau Burrows,2020,23,DET,RP,5,0,6.7,110,,,,,,,,,,,,,,,,,,,,663366,Beau Burrows,2020,23,DET,RP,5,0,6.7,110
107524,664069,Ben Braymer,2020,26,WAS,RP,2,0,2.3,66,,,,,,,,,,,,,,,,,,,,664069,Ben Braymer,2020,26,WAS,RP,2,0,2.3,66
107524,664069,Ben Braymer,2020,26,WAS,SP,1,1,5,86,,,,,,,,,,,,,,,,,,,,664069,Ben Braymer,2020,26,WAS,SP,1,1,5.0,86
102138,621294,Ben Heller,2020,28,NYY,RP,6,0,6,111,,,,,,,,,,,,,,,,,,,,621294,Ben Heller,2020,28,NYY,RP,6,0,6.0,111
107804,641576,Bernardo Flores Jr.,2020,24,CHW,RP,2,0,2,27,,,,,,,,,,,,,,,,,,,,641576,Bernardo Flores Jr.,2020,24,CHW,RP,2,0,2.0,27
107614,664977,Blake Cederlind,2020,24,PIT,RP,5,0,4,67,,,,,,,,,,,,,,,,,,,,664977,Blake Cederlind,2020,24,PIT,RP,5,0,4.0,67
